ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,ADM2_PCODE,region_name,admin1_pcode,geometry,lon,lat
26,Araneta Cyber Park,IT Park,Operating,"EDSA and P. Tuazon Boulevard, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.052216815759, 14.616485013012)",121.052216815759,14.616485013012
27,Arcenas Estate IT Building,IT Center,Operating,"Banawa Hills, Barangay Labangon, Cebu City",Barangay Labangon,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.87, 10.30444)",123.87,10.30444
28,Asahi Special Economic Zone,Manufacturing,Operating,"Brgy. Pinagbuhatan, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.091376245404, 14.555018882146)",121.091376245404,14.555018882146
29,Aseana 3 BPO Building,IT Center,Operating,"Aseana Avenue corner Macapagal Boulevard, Aseana City, Parañaque City",Parañaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(120.990224993317, 14.525254780671)",120.990224993317,14.525254780671
30,Aseana One,IT Center,Operating,"Lot 13, Bradco Avenue, Aseana Business Park, Parañaque City",Parañaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.028933, 14.4778938)",121.028933,14.4778938
31,Aseana Two,IT Center,Operating,"Lot 17, Bradco Avenue, Aseana City, Parañaque City",Parañaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.028933, 14.4778938)",121.028933,14.4778938
32,Asian Star Building,IT Center,Operating,"Lots 1&2, Block 2, Phase 1, Filinvest Corporate City, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.045957869505, 14.413034462324)",121.045957869505,14.413034462324
33,ATC BPO 1,IT Center,Operating,"Madrigal Avenue, Alabang Town Center, Barangay Ayala Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.024819669592, 14.417145352419)",121.024819669592,14.417145352419
34,Avecshares Center,IT Center,Operating,"1132 University Parkway, North Bonifacio Triangle, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.049221, 14.5484707)",121.049221,14.5484707
35,Avenir,IT Center,Operating,"Archbishop Reyes Avenue, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.903215091716, 10.319096795543)",123.903215091716,10.319096795543
36,Ayala Business Center,IT Center,Operating,"Matina Town Square, Matina, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.596980943586, 7.062798714386)",125.596980943586,7.062798714386
37,Ayala North Exchange [Formerly Makati Gateway],IT Center,Operating,"Ayala Avenue corner Salcedo and Amorsolo Streets, Barangay San Lorenzo, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.014100878782, 14.558467510136)",121.014100878782,14.558467510136
38,Bacolod Capitol Corporate Center [Formerly Ayala North Point TechnoHub],IT Park,Operating,"Barangay Zone 15, Talisay City, Negros Occidental",Talisay City,Talisay,PH051611000,Camarines Norte,PH051600000,Region V,PH050000000,"c(122.967328, 10.7387188)",122.967328,10.7387188
39,Bagong Nayong Pilipino – Entertainment City Manila,Tourism,Operating,"Bay City Project, Parañaque City",Parañaque City,City of Parañaque,PH137604000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.028933, 14.4778938)",121.028933,14.4778938
40,Baguio City Economic Zone,Manufacturing,Operating,"Loakan Road, Baguio City, Benguet Province",Baguio City,Baguio City,PH141102000,Benguet,PH141100000,Cordillera Administrative Region,PH140000000,"c(120.61306, 16.37389)",120.61306,16.37389
41,BA-Lepanto Building,IT Center,Operating,"8747 Paseo de Roxas, Salcedo Village, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.024242947355, 14.557823336012)",121.024242947355,14.557823336012
