ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,ADM2_PCODE,region_name,admin1_pcode,geometry,lon,lat
110,EDSA Central IT Center 2,IT Center,Operating,"Along United street, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.05519072938, 14.576982480905)",121.05519072938,14.576982480905
111,Embarcadero de Legazpi,Tourism,Operating,"Legazpi Port Area, Legaspi City",Legaspi City,Legazpi City,PH050506000,Albay,PH050500000,Region V,PH050000000,"c(123.7539, 13.1494)",123.7539,13.1494
112,EMI Special Economic Zone,Manufacturing,Operating,"Anabu II, Imus, Cavite",Imus,Imus City,PH042109000,Cavite,PH042100000,Region IV-A,PH040000000,"c(120.958363, 14.3778182)",120.958363,14.3778182
113,eNGY Tech Building,IT Center,Operating,"H. Cortes Street, Banilad, Mandaue City, Cebu",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000,"c(123.924660580706, 10.339189705407)",123.924660580706,10.339189705407
114,eNTEC 2 Building,IT Center,Operating,"Teresa Avenue, Nepo Commercial Complex, Barangays Sto. Rosario and Cutcut, Angeles City, Pampanga",Angeles City,Angeles City,PH035401000,Pampanga,PH035400000,Region III,PH030000000,"c(120.583798632431, 15.131500090189)",120.583798632431,15.131500090189
115,eNTEC Building,IT Center,Operating,"Teresa Ave. cor. Don Juan Ave., Nepo Mart Commercial Complex, Angeles City, Pampanga",Angeles City,Angeles City,PH035401000,Pampanga,PH035400000,Region III,PH030000000,"c(120.586795387107, 15.133661912182)",120.586795387107,15.133661912182
116,ePLDT Ventus Libertad Building,IT Center,Operating,"418 Arayat Street corner Libertad Street, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.047344960223, 14.575675033314)",121.047344960223,14.575675033314
117,EROS Building,IT Center,Operating,"Corners Real, Dr. V. Locsin & Cervantes Streets, Brgy. 3, Dumaguete City",Dumaguete City,Dumaguete City,PH074610000,Negros Oriental,PH074600000,Region VII,PH070000000,"c(123.3003036, 9.2957675)",123.3003036,9.2957675
118,E-Square Information Technology Park,IT Park,Operating,"Fort Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.049221, 14.5484707)",121.049221,14.5484707
119,Estancia Mall,IT Center,Operating,"Capitol Commons, Meralco Avenue corner Shaw Boulevard, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.0806429, 14.5598218)",121.0806429,14.5598218
120,Eton Centris,IT Park,Operating,"EDSA corner Quezon Avenue, Barangay Pinyahan, Diliman District, Quezon City",Diliman District,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.037797406799, 14.644086195456)",121.037797406799,14.644086195456
121,Eton Cyberpod Corinthian,IT Park,Operating,"Ortigas Avenue corner Efipanio Delos Santos Avenue, Barangay Ugong Norte, Quezon City",Barangay Ugong Norte,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.058576982961, 14.593024689049)",121.058576982961,14.593024689049
122,Exportbank Plaza Building,IT Center,Operating,"Exportbank Drive cor. Chino Roces Ave., Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.012115506927, 14.559328390546)",121.012115506927,14.559328390546
123,Fairview Terraces Corporate Center,IT Center,Operating,"Maligaya Road, Fairview, Quezon City",Fairview,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.070728, 14.7032559)",121.070728,14.7032559
124,Felcris Centrale,IT Center,Operating,"Quezon Boulevard, Barangay Bucana, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.609803091497, 7.061246108865)",125.609803091497,7.061246108865
125,Fiesta World Mall IT Center,IT Center,Operating,"Barrio Maraouy, Lipa City, Batangas",Lipa City,Lipa City,PH041014000,Batangas,PH041000000,Region IV-A,PH040000000,"c(121.1651615, 13.9603158)",121.1651615,13.9603158
126,Filandia IT Center,IT Center,Operating,"Jacinto Extension cor. Quirino Avenue, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.611122364929, 7.075584319921)",125.611122364929,7.075584319921
127,Filinvest Cebu Cyberzone,IT Center,Operating,"Salinas Drive, Lahug, Cebu City",Lahug,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.90142982402, 10.329566655031)",123.90142982402,10.329566655031
128,Filinvest Innovation Park [formerly New Clark City-Phase 1],Manufacturing,Operating,"Clark Special Economic Zone, Barangay Aranguren, Capas, Tarlac",Capas,Capas,PH036904000,Tarlac,PH036900000,Region III,PH030000000,"c(120.5242057, 15.3600325)",120.5242057,15.3600325
129,Filinvest Technology Park - Calamba,Manufacturing,Operating,"Punta, Burol & Bubuyan, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000,"c(121.1044156, 14.1713317)",121.1044156,14.1713317
130,First Cavite Industrial Estate,Manufacturing,Operating,"Langkaan, Dasmariñas, Cavite",Dasmariñas,City of Dasmariñas,PH042106000,Cavite,PH042100000,Region IV-A,PH040000000,"c(120.93333, 14.31667)",120.93333,14.31667
131,First Industrial Township - SEZ,Manufacturing,Operating,"Trapiche, Pagaspas & Baloc-Baloc, Tanauan, Batangas",Tanauan,Tanauan,PH083748000,Leyte,PH083700000,Region VIII,PH080000000,"c(121.130195764962, 14.095534901109)",121.130195764962,14.095534901109
132,First Oriental Business and Industrial Park,Manufacturing,Operating,"Ilang, Bunawan District, Davao  City",Davao  City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.64331, 7.24163)",125.64331,7.24163
133,First Philippine Industrial Park,Manufacturing,Operating,"Barangays Ulango and Laurel, Tanauan City and Sta. Anastacia,  Sto. Tomas, Batangas",Sto. Tomas,Santo Tomas,PH112318000,Davao del Norte,PH112300000,Region XI,PH110000000,"c(121.1386951, 14.1366969)",121.1386951,14.1366969
134,First Philippine Industrial Park II,Manufacturing,Operating,"Barangays Sta. Anastacia and San Rafael, Sto. Tomas, Batangas",Sto. Tomas,Santo Tomas,PH112318000,Davao del Norte,PH112300000,Region XI,PH110000000,"c(121.135924649478, 14.134966079987)",121.135924649478,14.134966079987
135,FLB Corporate Center,IT Center,Operating,"Arch. Reyes Ave., Cebu Business Park, Mabolo, Cebu City",Mabolo,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.903215091716, 10.319096795543)",123.903215091716,10.319096795543
136,Food Terminal Incorporated Special Economic Zone,Manufacturing,Operating,"East Service Road, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.045365962506, 14.475037466063)",121.045365962506,14.475037466063
137,Fort Ilocandia Tourism Economic Zone,Tourism,Operating,"Balacad, Laoag City, Ilocos Norte",Ilocos Norte,Laoag City,PH012812000,Ilocos Norte,PH012800000,Region I,PH010000000,"c(120.5537, 18.1553)",120.5537,18.1553
139,Gateway Business Park,Manufacturing,Operating,"Javalera, Gen. Trias, Cavite",Gen. Trias,City of General Trias,PH042108000,Cavite,PH042100000,Region IV-A,PH040000000,"c(120.9148453, 14.2672221)",120.9148453,14.2672221
140,Gateway Office Tower,IT Center,Operating,"Araneta Center, Cubao, Quezon City",Cubao,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.054306309481, 14.620711631427)",121.054306309481,14.620711631427
141,Gateway Tower,IT Center,Operating,"Araneta Center, Cubao, Quezon City",Cubao,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.054306309481, 14.620711631427)",121.054306309481,14.620711631427
142,Gensan Economic Zone,Manufacturing,Operating,"Barangay Tambler, General Santos City",General Santos City,General Santos City,PH126303000,South Cotabato,PH126300000,Region XII,PH120000000,"c(125.142049154048, 6.059019276156)",125.142049154048,6.0590192761559996
143,GLAS Office Development,IT Center,Operating,"Opal Road, cor. Topaz and Ruby Road, Brgy. San Antonio, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.060413535005, 14.586868728345)",121.060413535005,14.586868728345
144,Global Trade Center,IT Center,Operating,"1024 EDSA, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.02309546481, 14.657015448742)",121.02309546481,14.657015448742
145,Glorietta 1 BPO,IT Center,Operating,"Rizal Drive, Green Street and Hotel Drive, Barangay San Lorenzo, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.0205792, 14.5499982)",121.0205792,14.5499982
146,Glorietta 2 BPO,IT Center,Operating,"Rizal Drive, Green Street and Hotel Drive, Barangay San Lorenzo, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.0205792, 14.5499982)",121.0205792,14.5499982
147,Glorietta 5,IT Center,Operating,"Office Drive, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.0261473, 14.569122)",121.0261473,14.569122
148,Golden Gate Business Park-Cavite Export Processing Zone,Manufacturing,Operating,"Brgy. Buenavista, Gen. Trias, Cavite",Gen. Trias,City of General Trias,PH042108000,Cavite,PH042100000,Region IV-A,PH040000000,"c(120.89313308989, 14.322124825391)",120.89313308989,14.322124825391
149,Golden Mile Business Park,Manufacturing,Operating,"Governor's Drive, Maduya, Carmona, Cavite",Carmona,Carmona,PH042104000,Cavite,PH042100000,Region IV-A,PH040000000,"c(121.061299695251, 14.318265386058)",121.061299695251,14.318265386058
150,Green Tourism Ecozone - Pangulasian,Tourism,Operating,"Barangay Bebeladan, El Nido, Palawan",Palawan,El Nido,PH175312000,Palawan,PH175300000,Region IV-B,PH170000000,"c(119.378899, 11.0208037)",119.378899,11.0208037
151,Greenfield Automotive Park,Manufacturing,Operating,"Don Jose, Sta. Rosa City, Laguna",Sta. Rosa City,Santa Rosa,PH034928000,Nueva Ecija,PH034900000,Region III,PH030000000,"c(121.086706, 14.2577375)",121.086706,14.2577375
152,GT Tower International,IT Center,Operating,"Ayala Ave. cor. H. V. Dela Costa St., Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.016263459351, 14.559942113496)",121.016263459351,14.559942113496
153,Hanston Square,IT Center,Operating,"Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.061656368573, 14.585894670552)",121.061656368573,14.585894670552
154,Harvester Corporate Center,IT Center,Operating,"58 P. Tuazon Boulevard corner 7th and 8th Avenue, Cubao, Quezon City",Cubao,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.054617288082, 14.617097305421)",121.054617288082,14.617097305421
155,HDMF-WTCI IT Tower,IT Center,Operating,"Mindanao Avenue, Cebu Business Park, Cebu City",Cebu Business Park,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.905252042684, 10.320229030972)",123.905252042684,10.320229030972
156,Hermosa Ecozone Industrial Park,Manufacturing,Operating,"Hermosa, Bataan",Bataan,Hermosa,PH030805000,Bataan,PH030800000,Region III,PH030000000,"c(120.5073637, 14.8317529)",120.5073637,14.8317529
157,"HGS Cyberpark
(formerly HTMT Cyber Park)",IT Park,Operating,"86 E. Rodriguez Jr. Avenue, Barangay Ugong Norte, Quezon City",Barangay Ugong Norte,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.079751514401, 14.594870300309)",121.079751514401,14.594870300309
158,Hijo Special Economic Zone,Manufacturing,Operating,"Madaum, Tagum City, Davao del Norte",Tagum City,City of Tagum,PH112319000,Davao del Norte,PH112300000,Region XI,PH110000000,"c(125.8117185, 7.3855036)",125.8117185,7.3855036
159,Horizon IT Park,IT Park,Operating,"Barangays Sto. Cristo and Kaybanban, San Jose Del Monte City, Bulacan",San Jose Del Monte City,City of San Jose del Monte,PH031420000,Bulacan,PH031400000,Region III,PH030000000,"c(121.0962, 14.8138)",121.0962,14.8138
160,HPI Corporate Center,IT Center,Operating,"1026 EDSA, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.022677680171, 14.657366714441)",121.022677680171,14.657366714441
162,Iloilo Business Park,Tourism,Operating,"Old Airport, Iloilo City",Iloilo City,Iloilo City,PH063022000,Iloilo,PH063000000,Region VI,PH060000000,"c(122.5412049, 10.710011)",122.5412049,10.710011
163,Iloilo Commercial Development Corp. Building,IT Center,Operating,"Corner Avacena and Locsin Streets, Barangay North San Jose, Iloilo City",Barangay North San Jose,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(122.53389, 10.77028)",122.53389,10.77028
164,Iloilo Gateway Cyberscape,IT Center,Operating,"Barangay Mali-ao, Pavia, Iloilo",Pavia,Pavia,PH063036000,Iloilo,PH063000000,Region VI,PH060000000,"c(122.5312381, 10.7885609)",122.5312381,10.7885609
165,Iloilo Technohub,IT Park,Operating,"Riverside Boardwalk, Barangay San Rafael, Iloilo City",Barangay San Rafael,Iloilo City,PH063022000,Iloilo,PH063000000,Region VI,PH060000000,"c(122.5499271, 10.7064294)",122.5499271,10.7064294
166,Inoza Tower,IT Center,Operating,"Block 32, Lots 8 and 11, 39th and 40th Streets, Bonifacio Global City, Fort Bonifacio, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.049221, 14.5484707)",121.049221,14.5484707
167,Insular Life Building,IT Center,Operating,"6781 Ayala Avenue corner Paseo de Roxas, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.021073917402, 14.556754014714)",121.021073917402,14.556754014714
168,Insular Life Corporate Center,IT Center,Operating,"Life Drive, Filinvest Corporate City, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.044048, 14.4178119)",121.044048,14.4178119
169,Irasan-Roxas Zanorte Special Economic Zone,Agro-Industrial,Operating,"Barangay Irasan, Municipality of Roxas, Zamboanga del Norte",Municipality of Roxas,Roxas City,PH061914000,Capiz,PH061900000,Region VI,PH060000000,"c(123.2059, 8.443)",123.2059,8.443
170,I-Square Building,IT Center,Operating,"Meralco Avenue, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.061094013752, 14.574816627423)",121.061094013752,14.574816627423
171,Jasaan Misamis Oriental Ecozone,Manufacturing,Operating,"Solana & Luz Banzon, Jasaan, Misamis Oriental",Jasaan,Jasaan,PH104311000,Misamis Oriental,PH104300000,Region X,PH100000000,"c(124.7671238, 8.633751)",124.7671238,8.633751
172,Jazz IT Center,IT Center,Operating,"Jupiter Street corner N. Garcia Street, Barangay Bel-Air, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.02230773355, 14.562824398541)",121.02230773355,14.562824398541
173,JELP Business Solution Center,IT Center,Operating,"409 Shaw Boulevard, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.031367025605, 14.591639878264)",121.031367025605,14.591639878264001
174,JESA Building,IT Center,Operating,"90 General Maxilom Avenue, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.911284475679, 10.305412841803)",123.911284475679,10.305412841803
175,JGC Philippines Building,IT Center,Operating,"2109 Prime Street, Madrigal Business Park, Ayala Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.044048, 14.4178119)",121.044048,14.4178119
176,JMALL IT Center,IT Center,Operating,"A.S. Fortuna Street, Bakilid, Mandaue City, Cebu",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000,"c(123.93833, 10.33583)",123.93833,10.33583
177,John Hay Special Tourism Economic Zone,Tourism,Operating,"Baguio City, Benguet Province",Benguet Province,Baguio City,PH141102000,Benguet,PH141100000,Cordillera Administrative Region,PH140000000,"c(120.59306, 16.41639)",120.59306,16.41639
178,Jose Panganiban SEZ,Manufacturing,Operating,"Jose Panganiban, Camarines Norte",Camarines Norte,Iba,PH037105000,Zambales,PH037100000,Region III,PH030000000,"c(122.6925122, 14.2914107)",122.6925122,14.2914107
179,JY Campos IT Centre,IT Center,Operating,"9th Avenue corner 30th Street, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.051682699961, 14.551555181179)",121.051682699961,14.551555181179
180,JY Square IT Center,IT Center,Operating,"Salinas Drive, Lahug, Cebu City",Lahug,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.90142982402, 10.329566655031)",123.90142982402,10.329566655031
181,JY Square IT Center II,IT Center,Operating,"Salinas Drive, Lahug, Cebu City",Lahug,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.90142982402, 10.329566655031)",123.90142982402,10.329566655031
182,JY Square IT Center III,IT Center,Operating,"Salinas Drive, Lahug, Cebu City",Lahug,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.90142982402, 10.329566655031)",123.90142982402,10.329566655031
183,Kamanga Agro-Industrial Economic Zone,Agro-Industrial,Operating,"Brgy. Kamanga, Municipality of Maasim, Province of Sarangani",Municipality of Maasim,Maasim,PH128004000,Sarangani,PH128000000,Region XII,PH120000000,"c(125.00611, 5.8575)",125.00611,5.8575
184,Keppel Center,IT Center,Operating,"Cardinal Rosales Avenue corner Samar Loop, Cebu Business Park, Cebu City",Cebu Business Park,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.905841262967, 10.316146314291)",123.905841262967,10.316146314291
185,King’s Court IT Center,IT Center,Operating,"2129 Don Chino Roces Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.017400187747, 14.54282023725)",121.017400187747,14.54282023725
186,K-Pointe Technology Center,IT Center,Operating,"No. 691 Aurora Boulevard, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.034074165408, 14.61349702655)",121.034074165408,14.61349702655
187,KRC I.T. Zone,IT Center,Operating,"Lopez Jaena Street, Subangdaku, Mandaue City, Cebu",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000,"c(123.927416414191, 10.325582761123)",123.927416414191,10.325582761123
188,"L & Y Plaza I, L & Y Plaza II, L & Y Plaza III",IT Center,Operating,"120 E. Rodriguez Jr. Avenue corner Ortigas Avenue, Brgy. Ugong, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.079872716721, 14.589876320488)",121.079872716721,14.589876320488
189,Laguna International Industrial Park,Manufacturing,Operating,"Ganado & Mamplasan, Biñan City, Laguna",Biñan City,City of Biñan,PH043403000,Laguna,PH043400000,Region IV-A,PH040000000,"c(121.08089, 14.28893)",121.08089,14.28893
190,Laguna Technopark,Manufacturing,Operating,"Sta. Rosa and Biñan City, Laguna",Laguna,City of Santa Rosa,PH043428000,Laguna,PH043400000,Region IV-A,PH040000000,"c(121.0847536, 14.338775)",121.0847536,14.338775
191,Laguna Technopark Annex,Manufacturing,Operating,"Barangay Biñan, Biñan City, Laguna",Biñan City,City of Biñan,PH043403000,Laguna,PH043400000,Region IV-A,PH040000000,"c(121.052755769086, 14.262423582578)",121.052755769086,14.262423582578
192,Lakeside EvoZone,IT Park,Operating,"Barangays Don Jose and Sto. Domingo, Sta. Rosa City, Laguna",Sta. Rosa City,Santa Rosa,PH034928000,Nueva Ecija,PH034900000,Region III,PH030000000,"c(121.0602981, 14.2428494)",121.0602981,14.2428494
193,LBRDC - Special Economic Zone [formerly Victoria Wave Special Economic Zone],Manufacturing,Operating,"Malaria, Tala, Caloocan City",Caloocan City,Caloocan City,PH137501000,"NCR, Third District",PH137500000,National Capital Region,PH130000000,"c(120.9714452, 14.6515298)",120.9714452,14.6515298
194,Lexmark Plaza,IT Park,Operating,"Cebu Business Park, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.902926544578, 10.318823724104)",123.902926544578,10.318823724104
195,Lexmark Plaza III (formerly Creativo IT Center),IT Center,Operating,"Cebu Business Park, Cebu City, Province of Cebu",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.89071, 10.31672)",123.89071,10.31672
196,Leyte Industrial Development Estate,Manufacturing,Operating,"Isabel, Leyte",Leyte,Leyte,PH083729000,Leyte,PH083700000,Region VIII,PH080000000,"c(124.4332803, 10.9246802)",124.4332803,10.9246802
197,Leyte Information Communication Tech. Park,IT Park,Operating,"Brgy. Pawing, Palo, Leyte",Palo,Palo,PH083739000,Leyte,PH083700000,Region VIII,PH080000000,"c(124.9953433, 11.1876675)",124.9953433,11.1876675
198,Leyte Mikyu  Economic Zone,IT Park,Operating,"Pawing, Palo, Leyte",Palo,Palo,PH083739000,Leyte,PH083700000,Region VIII,PH080000000,"c(124.9953433, 11.1876675)",124.9953433,11.1876675
199,Light Industry & Science Park I,Manufacturing,Operating,"Diezmo, Cabuyao, Laguna",Cabuyao,Cabuyao City,PH043404000,Laguna,PH043400000,Region IV-A,PH040000000,"c(121.1056553, 14.2495405)",121.1056553,14.2495405
200,Light Industry & Science Park II,Manufacturing,Operating,"Real & La Mesa, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000,"c(121.1636109, 14.1860107)",121.1636109,14.1860107
201,Light Industry & Science Park III,Manufacturing,Operating,"San Rafael & Sta Anastacia, Sto. Tomas, Batangas",Sto. Tomas,Santo Tomas,PH112318000,Davao del Norte,PH112300000,Region XI,PH110000000,"c(121.137891833297, 14.127700493254)",121.137891833297,14.127700493254
202,Light Industry & Science Park IV,Manufacturing,Operating,"Barangays Bulihan, Luta Sur, Luta Norte, San Fernando, San Pedro West, and Poblacion, Malvar, Batangas",Malvar,Malvar,PH041017000,Batangas,PH041000000,Region IV-A,PH040000000,"c(121.1560434, 14.051504)",121.1560434,14.051504
203,Lima Technology Center,Manufacturing,Operating,"San Lucas, Bugtong na Pulo & Inosluban, Lipa City and Santiago & Payapa, Malvar, Batangas",Malvar,Malvar,PH041017000,Batangas,PH041000000,Region IV-A,PH040000000,"c(121.1554715, 14.0158578)",121.1554715,14.0158578
204,Limketkai Mall Module-2 BPO & Cyberpark Buildin,IT Center,Operating,"Lapasan, Cagayan De Oro City",Cagayan De Oro City,Cagayan de Oro City,PH104305000,Misamis Oriental,PH104300000,Region X,PH100000000,"c(124.6647411, 8.4825661)",124.6647411,8.4825661
205,LinkSy IT Park,IT Park,Operating,"Bantayan, Dumaguete City, Negros Oriental",Dumaguete City,Dumaguete City,PH074610000,Negros Oriental,PH074600000,Region VII,PH070000000,"c(123.3062306, 9.3196019)",123.3062306,9.3196019
206,Lopue’s South Square IT Park,IT Park,Operating,"Araneta Street, Barangay Tangub, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000,"c(122.930957749075, 10.637968702362)",122.930957749075,10.637968702362
207,Lopue's East I. T. Center,IT Center,Operating,"Burgos Street coner Hilado National Highway, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000,"c(122.946825132137, 10.673165704895)",122.946825132137,10.673165704895
208,LP Information Technology Park,IT Park,Operating,"Jose Romero Sr. Street, Bagacay, Dumaguete City, Negros Oriental",Dumaguete City,Dumaguete City,PH074610000,Negros Oriental,PH074600000,Region VII,PH070000000,"c(123.288206909931, 9.298260856021)",123.288206909931,9.298260856021
209,Luisa Avenue Square IT Center,IT Center,Operating,"Jacinto Extension corner Villamor Street, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.616314912036, 7.080866951533)",125.616314912036,7.080866951533
210,Luisita Industrial Park,Manufacturing,Operating,"San Miguel, Tarlac",Tarlac,San Miguel,PH166816000,Surigao del Sur,PH166800000,Region XIII,PH160000000,"c(120.6118002, 15.4616333)",120.6118002,15.4616333
211,Lumina Point,IT Center,Operating,"Aguinaldo Highway corner Nueno Avenue, Tanzang Luma 1, Imus, Cavite",Imus,Imus City,PH042109000,Cavite,PH042100000,Region IV-A,PH040000000,"c(120.942146983436, 14.422624914172)",120.942146983436,14.422624914172
212,Luxur Plaza ITformation Centre,IT Center,Operating,"46 Lizares Avenue, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000,"c(122.944331514596, 10.660515536974)",122.944331514596,10.660515536974
213,Maayo Medical,Medical Tourism Center,Operating,"Barangay Alang-alang, Mandaue City, Cebu",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000,"c(123.945969692498, 10.33196754455)",123.945969692498,10.33196754455
214,Mabuhay I.T. Park,IT Park,Operating,"Barangay Lago, General Santos City",General Santos City,General Santos City,PH126303000,South Cotabato,PH126300000,Region XII,PH120000000,"c(125.190639955306, 6.128659427953)",125.190639955306,6.128659427953
215,Macroasia Ecozone,Manufacturing,Operating,"Nichols Field, NAIA, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.0226, 14.5181)",121.0226,14.5181
216,Mactan Economic Zone,Manufacturing,Operating,"Lapu-Lapu City, Mactan, Cebu",Mactan,Lapu-Lapu City,PH072226000,Cebu,PH072200000,Region VII,PH070000000,"c(124.01105, 10.30563)",124.01105,10.30563
217,Mactan Ecozone II,Manufacturing,Operating,"Basak, Lapu-lapu City, Mactan, Cebu",Mactan,Lapu-Lapu City,PH072226000,Cebu,PH072200000,Region VII,PH070000000,"c(124.00706, 10.30623)",124.00706,10.30623
218,Mall of Asia Arena Annex Bldg. – IT Center,IT Center,Operating,"Coral Way corner J.W. Diokno Boulevard, Mall of Asia Complex, CBP-1A, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(120.984486826223, 14.531377216117)",120.984486826223,14.531377216117
219,Mango Square,IT Center,Operating,"Maxilom Avenue corner Juana Osmeña Street, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.89541736054, 10.310278101969)",123.89541736054,10.310278101969
220,Manila Harbour Center,Manufacturing,Operating,"District of Tondo, Manila City",Manila City,Tondo I / II,PH133901000,National Capital Region,PH133900000,National Capital Region,PH130000000,"c(120.9780244, 14.611891)",120.9780244,14.611891
221,Manticao Ecozone Corporation SEZ,Manufacturing,Operating,"Barangay Poblacion, Manticao, Misamis Oriental",Manticao,Manticao,PH104318000,Misamis Oriental,PH104300000,Region X,PH100000000,"c(124.2852492, 8.3959471)",124.2852492,8.3959471
